Date,Occupancy_Rate_Pct,ADR_JPY,RevPAR_JPY,Revenue_JPY_Millions,Occupancy_YoY_Pct,ADR_YoY_Pct,RevPAR_YoY_Pct,Revenue_YoY_Pct,Extraction_Method,Source_File
2012/04,70.2,8189.0,5752.0,186.0,17.2,-4.75,26.11,20.78,table_total,Announcement of Monthly Disclosure for Apr 2012.pdf
2013/04,76.4,8351.0,6379.0,180.0,6.2,1.98,10.9,-3.23,table_total,Announcement of Monthly Disclosure for Apr 2013.pdf
2014/04,80.1,8041.0,6445.0,153.0,3.8,-3.7,1.03,-14.53,table_total,Announcement of Monthly Disclosure for Apr 2014.pdf
2015/04,79.5,8470.0,6731.0,136.0,-0.7,5.3,4.4,-11.5,table_total,Announcement of Monthly Disclosure for Apr 2015.pdf
2016/04,83.7,9505.0,7956.0,171.0,4.2,12.2,18.2,25.8,table_total,Announcement of Monthly Disclosure for Apr 2016.pdf
2017/04,90.5,10345.0,9629.0,252.0,2.2,-0.3,0.2,0.5,table_total,Announcement of Monthly Disclosure for Apr 2017.pdf
2018/04,89.7,10007.0,9456.0,248.0,-0.7,-3.3,-1.8,-1.5,table_total,Announcement of Monthly Disclosure for Apr 2018.pdf
2019/04,89.0,15211.0,13535.0,4179.0,-0.4,3.9,3.4,3.6,table_total,Announcement of Monthly Disclosure for Apr 2019.pdf
2020/04,9.8,10968.0,1080.0,360.0,-78.8,-31.5,-92.4,-90.9,table_total,Announcement of Monthly Disclosure for Apr 2020.pdf
2021/04,33.4,10868.0,3632.0,1777.0,24.6,-2.8,266.5,231.6,table_total,Announcement of Monthly Disclosure for Apr 2021.pdf
2022/04,58.9,11028.0,6494.0,2573.0,26.4,4.0,88.2,44.6,table_total,Announcement of Monthly Disclosure for Apr 2022.pdf
2023/04,78.3,17136.0,13424.0,4537.0,19.5,55.4,106.7,76.3,table_total,Announcement of Monthly Disclosure for Apr 2023.pdf
2024/04,84.0,18751.0,15757.0,5541.0,5.8,11.8,20.1,18.1,table_metrics,Announcement of Monthly Disclosure for Apr 2024.pdf
2025/04,89.0,21556.0,19187.0,6607.0,5.0,15.0,21.8,19.2,table_total,Announcement of Monthly Disclosure for Apr 2025.pdf
2012/08,88.8,8954.0,7953.0,164.0,13.5,-2.36,15.19,32.26,table_total,Announcement of Monthly Disclosure for Aug 2012.pdf
2013/08,91.2,9547.0,8708.0,190.0,2.4,6.62,9.49,15.85,table_total,Announcement of Monthly Disclosure for Aug 2013.pdf
2014/08,88.7,9786.0,8682.0,150.0,-2.5,2.49,-0.3,-20.63,table_total,Announcement of Monthly Disclosure for Aug 2014.pdf
2015/08,89.7,10794.0,9684.0,195.0,1.0,10.3,11.5,29.9,table_total,Announcement of Monthly Disclosure for Aug 2015.pdf
2016/08,92.2,11950.0,11021.0,190.0,2.5,10.7,13.8,-2.9,table_total,Announcement of Monthly Disclosure for Aug 2016.pdf
2017/08,93.0,9155.0,8601.0,233.0,0.3,-5.4,0.7,1.0,table_total,Announcement of Monthly Disclosure for Aug 2017.pdf
2018/08,90.5,9674.0,7975.0,166.0,-1.0,8.7,-4.7,-5.7,table_total,Announcement of Monthly Disclosure for Aug 2018.pdf
2019/08,88.6,20752.0,18387.0,4967.0,-1.9,-5.3,-7.3,-4.6,table_total,Announcement of Monthly Disclosure for Aug 2019.pdf
2020/08,32.3,14469.0,4669.0,1891.0,-56.8,-31.7,-75.3,-68.1,table_total,Announcement of Monthly Disclosure for Aug 2020.pdf
2021/08,43.5,14798.0,6440.0,2288.0,11.3,2.3,37.9,21.0,table_total,Announcement of Monthly Disclosure for Aug 2021.pdf
2022/08,71.0,17277.0,12261.0,4040.0,29.5,16.9,100.1,75.6,table_total,Announcement of Monthly Disclosure for Aug 2022.pdf
2023/08,79.8,22986.0,18353.0,5667.0,8.9,33.0,49.7,40.3,table_total,Announcement of Monthly Disclosure for Aug 2023.pdf
2024/08,83.3,23944.0,19938.0,6581.0,3.4,7.9,12.4,12.9,table_metrics,Announcement of Monthly Disclosure for Aug 2024.pdf
2025/08,88.1,25663.0,22618.0,7467.0,4.9,7.2,13.4,13.5,table_total,Announcement of Monthly Disclosure for Aug 2025.pdf
2012/12,76.7,8448.0,6478.0,218.0,0.5,1.44,2.14,3.81,table_total,Announcement of Monthly Disclosure for Dec 2012.pdf
2013/12,77.7,8227.0,6390.0,225.0,1.0,-2.62,-1.34,3.21,table_total,Announcement of Monthly Disclosure for Dec 2013.pdf
2014/12,78.3,8451.0,6617.0,186.0,0.6,2.72,3.55,-17.33,table_total,Announcement of Monthly Disclosure for Dec 2014.pdf
2015/12,79.6,8648.0,6880.0,223.0,1.3,2.3,4.0,19.8,table_total,Announcement of Monthly Disclosure for Dec 2015.pdf
2016/12,79.2,8755.0,6936.0,217.0,-0.3,1.2,0.8,-2.8,table_total,Announcement of Monthly Disclosure for Dec 2016.pdf
2017/12,87.0,9504.0,8354.0,227.0,-0.2,-0.7,0.6,0.1,table_total,Announcement of Monthly Disclosure for Dec 2017.pdf
2018/12,84.8,9648.0,8362.0,175.0,-0.1,6.9,3.9,3.3,table_total,Announcement of Monthly Disclosure for Dec 2018.pdf
