Date,Occupancy_Rate_Pct,ADR_JPY,RevPAR_JPY,Revenue_JPY_Millions,Occupancy_Diff,ADR_Diff_Pct,RevPAR_Diff_Pct,Revenue_Diff_Pct,Next_Month_RevPAR_Forecast,Extraction_Method,Source_File
2017/04,92.5,10414.0,9635.0,2100.0,91.2,0.3,1.7,2.4,,table_hotel,Performance Update for Apr 2017.pdf
2018/04,91.0,11426.0,10403.0,3926.0,91.5,-1.4,-1.8,-1.0,,table_hotel,Performance Update for Apr 2018.pdf
2019/04,90.4,12040.0,10886.0,4822.0,89.5,6.0,7.0,4.5,,table_hotel,Performance Update for Apr 2019.pdf
2020/04,27.0,6201.0,1675.0,1024.0,87.8,-46.2,-83.4,-83.6,,table_hotel,Performance Update for Apr 2020.pdf
2021/04,40.0,7085.0,2836.0,2123.0,27.0,14.3,69.3,82.8,,table_hotel,Performance Update for Apr 2021.pdf
2022/04,68.3,7644.0,5222.0,3450.0,40.0,7.9,84.2,51.5,May 2022: +115%,table_hotel,Performance Update for Apr 2022.pdf
2023/04,82.1,11399.0,9358.0,5816.0,68.3,49.1,79.2,67.3,May 2023: +65%,table_hotel,Performance Update for Apr 2023.pdf
2024/04,81.3,13797.0,11213.0,7371.0,82.1,14.0,12.8,10.6,May 2024: +2.5%,table_hotel,Performance Update for Apr 2024.pdf
2025/04,84.8,15070.0,12783.0,8484.0,80.7,12.3,18.1,14.6,May 2025: +18.7%,table_hotel,Performance Update for Apr 2025.pdf
2016/08,92.5,10319.0,9549.0,4066.0,93.6,4.3,3.2,2.7,,table_hotel,Performance Update for Aug 2016.pdf
2017/08,92.7,11266.0,10441.0,2443.0,91.6,2.9,4.2,4.8,,table_hotel,Performance Update for Aug 2017.pdf
2018/08,93.5,12616.0,11802.0,5352.0,92.8,1.5,2.3,4.4,,table_hotel,Performance Update for Aug 2018.pdf
2019/08,91.4,12360.0,11298.0,5184.0,93.5,-1.9,-4.1,-3.8,,table_hotel,Performance Update for Aug 2019.pdf
2020/08,43.0,9247.0,3972.0,2713.0,91.3,-27.2,-65.8,-62.0,,table_hotel,Performance Update for Aug 2020.pdf
2021/08,46.1,8808.0,4057.0,2759.0,43.0,-4.8,2.1,-0.9,September 2021: -25%,table_hotel,Performance Update for Aug 2021.pdf
2022/08,75.7,10886.0,8244.0,5096.0,46.1,23.6,103.2,77.7,September 2022: +125%,table_hotel,Performance Update for Aug 2022.pdf
2023/08,85.3,14129.0,12058.0,7356.0,75.7,29.8,46.3,44.3,September 2023: +43%,table_hotel,Performance Update for Aug 2023.pdf
2024/08,86.5,17611.0,15229.0,9730.0,85.4,9.3,10.7,8.9,September 2024: +9.5%,table_hotel,Performance Update for Aug 2024.pdf
2025/08,87.7,18099.0,15875.0,10635.0,86.0,3.2,5.3,5.5,September 2025: +10.3%,table_hotel,Performance Update for Aug 2025.pdf
2016/12,87.4,9650.0,8432.0,1792.0,88.4,3.6,2.4,3.0,,table_hotel,Performance Update for Dec 2016.pdf
2017/12,88.0,9728.0,8563.0,2021.0,87.9,-1.7,-1.5,-0.3,,table_hotel,Performance Update for Dec 2017.pdf
2018/12,88.7,11129.0,9867.0,4734.0,88.5,3.4,3.6,1.8,,table_hotel,Performance Update for Dec 2018.pdf
2019/12,86.0,10144.0,8727.0,4414.0,88.7,-8.8,-11.5,-6.8,,table_hotel,Performance Update for Dec 2019.pdf
2020/12,46.9,8264.0,3874.0,3122.0,84.3,-14.6,-52.5,-45.5,,table_hotel,Performance Update for Dec 2020.pdf
2021/12,61.6,8207.0,5059.0,3802.0,46.9,-0.7,30.6,21.8,January 2022: +75%,table_hotel,Performance Update for Dec 2021.pdf
2022/12,80.5,11503.0,9263.0,5963.0,61.6,40.2,83.1,59.7,January 2023: +95%,table_hotel,Performance Update for Dec 2022.pdf
2023/12,79.2,12852.0,10178.0,6831.0,80.5,11.7,9.9,14.6,January 2024: +18.2%,table_hotel,Performance Update for Dec 2023.pdf
2024/12,82.5,14523.0,11987.0,8327.0,78.1,10.6,16.8,12.1,January 2025: +20.5%,table_hotel,Performance Update for Dec 2024.pdf
2025/12,82.7,14465.0,11969.0,8542.0,81.9,5.1,6.2,6.0,January 2026: -0.6%,table_hotel,Performance Update for Dec 2025.pdf
2017/02,89.2,8637.0,7702.0,1568.0,90.3,0.9,-0.3,-1.4,,table_hotel,Performance Update for Feb 2017.pdf
2018/02,89.9,10036.0,9023.0,3212.0,89.2,4.3,5.1,6.5,,table_hotel,Performance Update for Feb 2018.pdf
2019/02,89.5,10073.0,9014.0,3831.0,90.1,-1.0,-1.6,-0.8,,table_hotel,Performance Update for Feb 2019.pdf
2020/02,74.9,8455.0,6331.0,4076.0,87.9,-15.6,-28.2,-20.5,,table_hotel,Performance Update for Feb 2020.pdf
2021/02,30.2,6722.0,2033.0,1266.0,74.9,-20.5,-67.9,-68.9,,table_hotel,Performance Update for Feb 2021.pdf
2022/02,51.1,6588.0,3369.0,2041.0,30.2,-2.0,65.7,45.5,"March
2022: +55%",table_hotel,Performance Update for Feb 2022.pdf
2023/02,82.0,10208.0,8374.0,4735.0,51.1,54.9,148.6,122.8,March 2023: +110%,table_hotel,Performance Update for Feb 2023.pdf
2024/02,81.8,12574.0,10283.0,6517.0,81.7,19.3,19.4,22.9,March 2024: +6.9%,table_hotel,Performance Update for Feb 2024.pdf
