Date,Country_JP,Country,Visitors,YoY_Change
2003/01,アフリカ計,Africa Total,1240,19.23
2003/01,アジア計,Asia Total,281263,-0.64
2003/01,豪州,Australia,10967,6.41
2003/01,オーストリア,Austria,591,-18.48
2003/01,ベルギー,Belgium,740,2.78
2003/01,ブラジル,Brazil,731,0.83
2003/01,カナダ,Canada,9300,-6.93
2003/01,中国,China,41864,25.29
2003/01,デンマーク,Denmark,667,3.25
2003/01,ヨーロッパ計,Europe Total,44736,1.37
2003/01,フィンランド,Finland,745,26.06
2003/01,フランス,France,6748,6.65
2003/01,ドイツ,Germany,6655,15.02
2003/01,香港,Hong Kong,25924,-36.45
2003/01,インド,India,2994,10.03
2003/01,インドネシア,Indonesia,3026,13.89
2003/01,アイルランド,Ireland,746,-2.23
2003/01,イスラエル,Israel,623,2.47
2003/01,イタリア,Italy,2227,2.11
2003/01,マレーシア,Malaysia,4525,3.15
2003/01,メキシコ,Mexico,562,-19.02
2003/01,オランダ,Netherlands,1552,7.48
2003/01,ニュージーランド,New Zealand,1838,-3.06
2003/01,北アメリカ計,North America Total,52822,-8.61
2003/01,ノルウェー,Norway,511,12.06
2003/01,オセアニア計,Oceania Total,13006,5.34
2003/01,フィリピン,Philippines,8728,8.91
2003/01,ポーランド,Poland,282,13.71
2003/01,ポルトガル,Portugal,617,14.9
2003/01,ロシア,Russia,2780,23.78
2003/01,シンガポール,Singapore,4522,-16.8
2003/01,南アメリカ計,South America Total,1706,9.92
2003/01,韓国,South Korea,112988,13.55
2003/01,スペイン,Spain,894,15.5
2003/01,無国籍・その他,Stateless/Other,96,-35.57
2003/01,スウェーデン,Sweden,1217,-8.29
2003/01,スイス,Switzerland,1181,3.78
2003/01,台湾,Taiwan,66734,-13.95
2003/01,タイ,Thailand,4252,9.59
2003/01,総数,Total,394869,-1.3
2003/01,トルコ,Turkey,568,130.89
2003/01,英国,UK,14308,-11.53
2003/01,米国,USA,42567,-8.97
2003/01,ベトナム,Vietnam,1130,26.97
2003/02,アフリカ計,Africa Total,2254,68.46
2003/02,アジア計,Asia Total,291767,7.82
2003/02,豪州,Australia,13170,1.39
2003/02,オーストリア,Austria,1072,25.53
2003/02,ベルギー,Belgium,1006,7.59
2003/02,ブラジル,Brazil,1152,0.61
2003/02,カナダ,Canada,12650,-3.63
2003/02,中国,China,49676,21.03
2003/02,デンマーク,Denmark,1113,17.65
2003/02,ヨーロッパ計,Europe Total,65203,10.92
2003/02,フィンランド,Finland,941,16.89
2003/02,フランス,France,8747,19.94
